Year/Ports,Petroleum Oil Lubricant(POL) & POL PRODUCTS,FERTILSER & FERTILISER PRODUCTS,IRON ORE,COAL,FOOD- GRAINS,CONTAINERS HANDLED,OTHERS,TOTAL CARGO HANDLED
1950-51,1900,122,0.0,163.0,1823,0.0,3428,7436
1951-52,2003,83,0.0,126.0,2191,0.0,3094,7497
1952-53,1803,71,0.0,132.0,1176,0.0,3296,6478
1953-54,1969,52,0.0,222.0,880,0.0,3818,6941
1954-55,2268,100,0.0,145.0,1516,0.0,3060,7089
1955-56,4654,103,0.0,85.0,1793,0.0,3045,9680
1956-57,6694,111,0.0,65.0,856,0.0,4713,12439
1957-58,6459,188,0.0,78.0,2026,0.0,4714,13465
1958-59,5721,287,0.0,29.0,1566,0.0,4394,11997
1959-60,6823,382,0.0,20.0,1754,0.0,4574,13553
1960-61,7311,275,0.0,20.0,2113,0.0,4630,14349
1961-62,7794,302,0.0,161.0,1221,0.0,4433,13911
1962-63,8262,361,0.0,212.0,1826,0.0,5305,15966
1963-64,10201,414,0.0,115.0,1622,0.0,5002,17354
1964-65,11119,417,0.0,0.0,2340,0.0,5003,18879
1965-66,9937,520,0.0,0.0,1568,0.0,5885,17910
1966-67,9919,579,0.0,0.0,2103,0.0,4406,17007
1967-68,8709,1484,0.0,0.0,2475,0.0,4255,16923
1968-69,9731,1641,0.0,0.0,3265,0.0,4385,19022
1969-70,8668,1105,0.0,0.0,1407,0.0,4792,15972
1970-71,8445,508,0.0,0.0,948,0.0,4469,14370
1971-72,9769,1035,0.0,0.0,515,0.0,4819,16138
1972-73,9662,1120,0.0,0.0,478,0.0,4665,15925
1973-74,11127,1094,0.0,0.0,1569,0.0,4418,18208
1974-75,10281,1080,0.0,0.0,2025,0.0,4469,17855
1975-76,8716,434,0.0,0.0,2230,0.0,5270,16650
1976-77,8817,361,0.0,0.0,1469,0.0,6676,17323
1977-78,8961,819,0.0,0.0,237,0.0,6030,16047
1978-79,8599,1126,0.0,0.0,285,0.0,6485,16495
1979-80,7324,1425,0.0,0.0,272,0.0,6957,15978
1980-81,8998,1276,0.0,0.0,87,0.0,6617,16978
1981-82,9449,1178,0.0,0.0,226,0.0,8543,19396
1982-83,17101,936,0.0,0.0,362,1472.0,3338,23209
1983-84,16650,936,0.0,0.0,376,1404.0,4523,23889
1984-85,16929,1041,0.0,0.0,117,1985.0,6864,26936
1985-86,15470,1052,0.0,0.0,608,2569.0,4611,24310
1986-87,16313,1221,0.0,0.0,497,3185.0,3858,25074
1987-88,19384,1166,0.0,0.0,572,3744.0,4702,29568
1988-89,19063,1428,0.0,0.0,860,3600.0,4391,29342
1989-90,18210,1223,0.0,0.0,432,3870.0,4011,27746
1990-91,19670,667,0.0,0.0,625,3888.0,4049,28899
1991-92,19512,494,0.0,0.0,340,2552.0,3363,26261
1992-93,20303,967,0.0,0.0,544,2496.0,4636,28946
1993-94,20820,902,0.0,0.0,763,5099.0,2922,30506
1994-95,18833,962,0.0,0.0,616,5890.0,4372,30673
1995-96,21138,840,0.0,0.0,1209,6748.0,3981,33916
1996-97,19908,707,0.0,0.0,114,7785.0,5213,33727
1997-98,17682,902,0.0,0.0,24,6068.0,7421,32097
1998-99,16671,902,0.0,0.0,30,7098.0,6269,30970
1999-00,16785,889,0.0,0.0,141,6130.0,6467,30412
2000-01,15641,700,0.0,0.0,186,4364.0,6172,27063
2001-02,15710,660,0.0,0.0,123,3684.0,6256,26433
2002-03,16039,464,0.0,0.0,979,3143.0,6987,26796
2003-04,18576,519,0.0,0.0,676,2816.0,7955,29995
2004-05,19395,574,0.0,0.0,601,2571.0,12422,35187
2005-06,27781,594,0.0,0.0,574,2145.0,11727,44190
2006-07,32175,473,0.0,2532.0,494,1580.0,14970,52364
2007-08,37076,313,0.0,2952.0,555,1631.0,14511,57038
2008-09,34269,311,0.0,3266.0,448,1291.0,12291,51876
2009-10,34494,442,0.0,3745.0,592,607.0,14661,54541
2010-11,33168,494,0.0,3869.0,703,652.0,15700,54586
2011-12,33315,404,0.0,4321.0,903,551.0,16692,56186
2012-13,34751,511,0.0,4018.0,864,830.0,17064,58038
2013-14,35980,302,0.0,4221.0,703,449.0,17529,59184
2014-15 ,35837,448,0.0,4304.0,683,544.0,19844,61660
2015-16 ,35669,439,0.0,3451.0,961,574.0,20025,61119
2016-17 ,35761,283,0.0,4204.0,430,639.0,21812,63129
2017-18 ,36745,288,0.0,2418.0,0,630.0,22821,62902
2018-19 ,36435,430,7266.0,6405.0,0,375.0,9723,60634
2019-20,37212,414,7028.0,6260.0,0,291.0,9492,60696
2020-21,33226,325,37.0,7175.0,4513,0.0,8047,53324
